make,price,year,kilometer,fuel type,transmission,color,owner,seller type,engine,seating capacity,fuel tank capacity
Tata,490000,2018,43000,Diesel,Manual,White,First,Individual,1047.0,5.0,35.0
Toyota,1900000,2019,71000,Diesel,Manual,Bronze,First,Individual,2393.0,8.0,55.0
Mercedes-Benz,3850000,2017,45600,Diesel,Automatic,Black,Second,Individual,2143.0,5.0,66.0
Hyundai,1125000,2018,60000,Diesel,Manual,White,First,Individual,1582.0,5.0,55.0
Mercedes-Benz,2300000,2014,105101,Diesel,Automatic,White,First,Individual,2143.0,5.0,70.0
Toyota,1095000,2016,45000,Petrol,Automatic,Black,First,Individual,1798.0,5.0,55.0
Audi,1575000,2013,66000,Diesel,Automatic,White,First,Individual,1968.0,5.0,63.0
Mercedes-Benz,2400000,2010,34105,Petrol,Automatic,Grey,First,Individual,1796.0,2.0,70.0
Hyundai,525000,2015,68397,Petrol,Manual,Gold,First,Individual,1197.0,5.0,45.0
Mahindra,625000,2015,65000,Diesel,Manual,White,Second,Individual,2498.0,6.0,60.0
Maruti Suzuki,605000,2019,27469,Petrol,Manual,Silver,First,Individual,1197.0,5.0,37.0
Maruti Suzuki,412000,2016,41058,Petrol,Automatic,Silver,First,Individual,998.0,5.0,35.0
Maruti Suzuki,625000,2016,51330,Diesel,Manual,Brown,First,Individual,1248.0,5.0,43.0
Maruti Suzuki,511000,2015,45969,Petrol,Manual,Silver,First,Individual,1373.0,5.0,43.0
Hyundai,1150000,2017,66602,Diesel,Automatic,Grey,First,Individual,1582.0,5.0,60.0
Hyundai,885000,2016,57983,Petrol,Manual,White,First,Individual,1591.0,5.0,60.0
Renault,470000,2019,11183,Petrol,Automatic,Silver,First,Individual,999.0,5.0,28.0
MG,1611000,2019,46301,Diesel,Manual,White,First,Individual,1956.0,5.0,60.0
Tata,475000,2017,34867,Petrol,Automatic,Silver,Second,Individual,1199.0,5.0,35.0
Toyota,865000,2015,43634,Diesel,Manual,Silver,First,Individual,2494.0,7.0,55.0
BMW,3800000,2018,9512,Diesel,Automatic,Blue,First,Corporate,1995.0,5.0,67.0
Jeep,2475000,2020,11293,Diesel,Automatic,White,First,Individual,1956.0,5.0,60.0
Mahindra,400000,2014,78000,Diesel,Manual,White,Second,Individual,2179.0,8.0,60.0
Honda,440000,2016,50374,Petrol,Manual,White,First,Individual,1198.0,5.0,35.0
BMW,2800000,2017,15900,Petrol,Automatic,White,First,Individual,1998.0,5.0,57.0
Honda,645000,2017,64000,Petrol,Manual,White,First,Individual,1497.0,5.0,40.0
Volkswagen,365000,2013,78000,Diesel,Manual,Silver,First,Individual,1199.0,5.0,45.0
Maruti Suzuki,1044999,2021,24000,Petrol,Manual,Silver,First,Individual,1462.0,5.0,48.0
Maruti Suzuki,515000,2019,40310,Petrol,Manual,Grey,Second,Individual,1196.0,7.0,40.0
Hyundai,455000,2015,69700,Petrol,Automatic,Blue,First,Individual,1197.0,5.0,43.0
BMW,1800000,2012,74073,Diesel,Automatic,Black,First,Individual,1995.0,5.0,67.0
Toyota,3499000,2019,73000,Diesel,Automatic,White,First,Individual,2755.0,7.0,80.0
Honda,190000,2006,130000,Petrol,Manual,Maroon,Third,Individual,1799.0,5.0,50.0
Audi,1250000,2012,50000,Diesel,Automatic,White,First,Individual,1692.5755432036383,5.0,52.00220966084276
Maruti Suzuki,775000,2021,24000,Petrol,Automatic,Grey,First,Individual,1197.0,5.0,37.0
Hyundai,825000,2021,43000,Diesel,Manual,White,First,Individual,1493.0,5.0,37.0
Audi,2250000,2016,40500,Diesel,Automatic,White,First,Individual,1968.0,5.0,50.0
Honda,865000,2017,49013,Petrol,Automatic,Grey,First,Individual,1497.0,5.0,40.0
Ford,299000,2013,64983,Diesel,Manual,Red,First,Individual,1399.0,5.0,45.0
Honda,570000,2017,92270,Petrol,Manual,Brown,First,Individual,1199.0,5.0,40.0
Volkswagen,385000,2013,65000,Petrol,Manual,White,First,Individual,1198.0,5.0,45.0
Honda,350000,2014,110000,Diesel,Manual,Black,First,Individual,1498.0,5.0,35.0
Toyota,2345000,2017,47000,Petrol,Automatic,Brown,First,Individual,2494.0,5.0,70.0
Mahindra,1650000,2022,10000,Petrol,Automatic,Black,First,Individual,1997.0,4.0,57.0
Mercedes-Benz,1100000,2011,51500,Diesel,Automatic,Black,Second,Individual,2143.0,5.0,66.0
Audi,2900000,2018,35000,Diesel,Automatic,White,First,Individual,1968.0,5.0,64.0
Maruti Suzuki,545000,2017,61518,Petrol,Manual,Red,First,Individual,1197.0,5.0,37.0
BMW,2990000,2018,34000,Diesel,Automatic,White,First,Corporate,1995.0,5.0,63.0
Maruti Suzuki,615000,2017,36058,Petrol,Manual,Silver,First,Individual,1197.0,5.0,37.0
Hyundai,890000,2016,88000,Diesel,Automatic,Silver,First,Individual,1582.0,5.0,60.0
Volkswagen,430000,2015,98112,Petrol,Manual,Brown,First,Individual,1598.0,5.0,55.0
Mercedes-Benz,1650000,2013,58000,Diesel,Automatic,Silver,First,Individual,2143.0,5.0,66.0
Toyota,1599000,2015,92355,Petrol,Automatic,Silver,First,Individual,2494.0,5.0,65.0
Maruti Suzuki,691000,2019,16652,Petrol,Manual,White,First,Individual,1197.0,5.0,37.0
Nissan,650000,2016,76584,Diesel,Manual,White,First,Individual,1461.0,5.0,50.0
Maruti Suzuki,415000,2015,42500,CNG,Manual,Brown,First,Individual,998.0,5.0,35.0
Maruti Suzuki,669000,2016,70000,Diesel,Manual,Grey,First,Individual,1248.0,5.0,48.0
BMW,2950000,2015,84700,Diesel,Automatic,Black,Second,Individual,2993.0,5.0,52.00220966084276
Mercedes-Benz,3900000,2018,83400,Diesel,Automatic,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Porsche,16200000,2022,2766,Petrol,Automatic,Blue,First,Individual,2995.0,4.0,75.0
Mercedes-Benz,5100000,2017,56000,Petrol,Automatic,White,Second,Individual,1991.0,4.0,59.0
Hyundai,525000,2015,68766,Petrol,Manual,Silver,First,Individual,1197.0,5.0,45.0
Hyundai,750000,2018,16339,Petrol,Manual,Black,First,Individual,1591.0,5.0,43.0
Honda,445000,2016,63882,Petrol,Manual,Bronze,First,Individual,1198.0,5.0,35.0
Toyota,493000,2012,28732,Petrol,Manual,Silver,First,Individual,1798.0,5.0,55.0
Hyundai,611000,2017,51349,Petrol,Manual,Red,First,Individual,1197.0,5.0,45.0
Hyundai,475000,2014,61866,Petrol,Automatic,White,First,Individual,1197.0,5.0,43.0
Hyundai,925000,2017,29401,Petrol,Manual,Grey,First,Individual,1591.0,5.0,60.0
Audi,1325000,2012,98580,Diesel,Automatic,White,First,Individual,1968.0,5.0,65.0
BMW,3900000,2021,8000,Diesel,Automatic,Black,First,Individual,1995.0,5.0,63.0
Mahindra,1299000,2020,31348,Diesel,Manual,White,First,Individual,1497.0,5.0,42.0
Maruti Suzuki,580000,2018,28851,Diesel,Manual,Blue,First,Corporate,1248.0,5.0,37.0
Honda,229000,2013,38175,Petrol,Manual,Blue,First,Individual,1692.5755432036383,5.0,52.00220966084276
Mahindra,1575000,2021,8519,Petrol,Manual,Blue,First,Individual,1997.0,4.0,57.0
Honda,375000,2011,78000,Petrol,Manual,Bronze,First,Individual,1497.0,5.0,42.0
Mercedes-Benz,2250000,2015,48000,Diesel,Automatic,White,First,Individual,2143.0,5.0,80.0
Toyota,1400000,2014,143000,Diesel,Automatic,White,Second,Individual,2982.0,7.0,80.0
Tata,425000,2017,39000,Diesel,Manual,Silver,First,Commercial Registration,1248.0,5.0,44.0
Skoda,425000,2014,24000,Petrol,Automatic,Beige,Second,Individual,1598.0,5.0,55.0
Maruti Suzuki,250000,2015,62000,Petrol,Manual,Maroon,Second,Individual,796.0,5.0,35.0
Maruti Suzuki,425000,2012,78000,Diesel,Manual,White,Second,Individual,1248.0,7.0,45.0
Hyundai,120000,2009,48500,LPG,Manual,Grey,Fourth,Individual,1086.0,5.0,35.0
Ford,235000,2014,82000,Diesel,Manual,White,Second,Individual,1399.0,5.0,45.0
Audi,3050000,2020,40910,Diesel,Automatic,White,First,Individual,1968.0,5.0,50.0
Tata,2145000,2020,10290,Diesel,Manual,Red,First,Individual,1956.0,5.0,50.0
Hyundai,1245000,2021,10530,Petrol,Automatic,Red,First,Individual,998.0,5.0,37.0
Hyundai,549000,2015,61900,Petrol,Manual,Silver,First,Individual,1197.0,5.0,45.0
Volkswagen,484999,2013,78000,Diesel,Manual,White,Second,Individual,1199.0,5.0,45.0
Maruti Suzuki,415000,2014,57402,Petrol,Manual,Grey,First,Individual,1197.0,5.0,42.0
Hyundai,200000,2013,57000,CNG,Manual,White,First,Individual,1086.0,5.0,35.0
Hyundai,375000,2015,87500,Petrol,Manual,Grey,First,Individual,1197.0,5.0,43.0
Tata,1375000,2021,16000,Electric,Automatic,White,First,Individual,1692.5755432036383,5.0,52.00220966084276
Hyundai,1875000,2022,18000,Petrol,Automatic,Black,First,Individual,1353.0,5.0,50.0
Audi,2950000,2020,10700,Petrol,Automatic,White,First,Individual,1984.0,5.0,55.0
Audi,4900000,2018,78000,Diesel,Automatic,Black,First,Individual,2967.0,7.0,75.0
Hyundai,1050000,2020,16282,Petrol,Automatic,White,First,Individual,998.0,5.0,37.0
Hyundai,470000,2013,66000,Diesel,Manual,Grey,Third,Individual,1582.0,5.0,43.0
Maruti Suzuki,345000,2017,72019,Petrol,Manual,Silver,Second,Individual,998.0,5.0,35.0
BMW,1490000,2013,195000,Diesel,Automatic,White,First,Individual,1995.0,5.0,52.00220966084276
Mahindra,550000,2007,92170,Diesel,Manual,White,Second,Individual,2609.0,7.0,60.0
Hyundai,484999,2018,55221,Petrol,Manual,White,First,Individual,1197.0,5.0,43.0
Toyota,3350000,2018,25000,Diesel,Automatic,White,First,Individual,2755.0,7.0,80.0
Maruti Suzuki,210000,2011,58888,Petrol,Manual,Maroon,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Audi,5651000,2022,1,Petrol,Automatic,Blue,UnRegistered Car,Individual,1984.0,5.0,70.0
Renault,890000,2020,23500,Petrol,Manual,White,First,Individual,1498.0,5.0,50.0
Maruti Suzuki,325000,2012,68000,Petrol,Manual,White,Second,Individual,1197.0,5.0,42.0
Hyundai,1390000,2019,29096,Petrol,Automatic,White,First,Individual,1591.0,5.0,55.0
Hyundai,459999,2016,61223,Petrol,Manual,White,First,Individual,1197.0,5.0,43.0
Jeep,1075000,2017,86000,Diesel,Manual,White,First,Individual,1956.0,5.0,60.0
Hyundai,484999,2013,87000,Diesel,Manual,White,First,Individual,1582.0,5.0,45.0
Hyundai,385000,2013,79287,Petrol,Manual,White,First,Individual,1197.0,5.0,45.0
Mercedes-Benz,4400000,2018,47009,Diesel,Automatic,Blue,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Audi,3900000,2018,48945,Diesel,Automatic,Black,First,Corporate,1968.0,5.0,75.0
Mahindra,1050000,2019,17000,Diesel,Manual,Green,First,Individual,1497.0,8.0,45.0
Kia,1575000,2019,55000,Diesel,Manual,Silver,First,Individual,1493.0,5.0,50.0
Maruti Suzuki,655000,2016,38779,Petrol,Manual,Blue,First,Individual,1197.0,5.0,37.0
Mercedes-Benz,4500000,2019,72000,Diesel,Automatic,White,First,Individual,1950.0,5.0,80.0
Maruti Suzuki,865000,2016,67000,Diesel,Manual,White,First,Individual,1248.0,7.0,45.0
Hyundai,699000,2017,67000,Petrol,Manual,White,First,Individual,1591.0,5.0,43.0
Hyundai,425000,2012,70000,Diesel,Manual,White,Second,Individual,1582.0,5.0,43.0
Land Rover,6500000,2020,6000,Diesel,Automatic,White,First,Individual,1999.0,7.0,70.0
Toyota,2900000,2017,46000,Diesel,Automatic,White,First,Individual,2755.0,7.0,80.0
Mercedes-Benz,4550000,2017,34000,Diesel,Automatic,Silver,First,Individual,2143.0,5.0,93.0
Hyundai,490000,2015,23103,Petrol,Manual,White,First,Individual,1197.0,5.0,43.0
Mercedes-Benz,11500000,2016,27000,Petrol,Automatic,Blue,First,Individual,4663.0,4.0,70.0
Hyundai,1475000,2019,9576,Petrol,Automatic,White,First,Individual,1591.0,5.0,55.0
MG,1729000,2020,27000,Petrol,Automatic,Silver,First,Individual,1451.0,5.0,60.0
MG,1764999,2021,1942,Petrol,Automatic,Red,First,Individual,1498.0,5.0,48.0
Honda,250000,2006,119300,Petrol,Automatic,Black,Third,Individual,2354.0,5.0,58.0
Maruti Suzuki,245000,2016,55000,Petrol,Manual,White,First,Individual,796.0,5.0,35.0
Renault,490000,2015,98000,Diesel,Manual,White,Second,Individual,1461.0,5.0,50.0
Hyundai,550000,2017,61400,Petrol,Manual,Grey,First,Individual,1197.0,5.0,43.0
Honda,675000,2016,87693,Petrol,Manual,Red,First,Individual,1497.0,5.0,40.0
Mercedes-Benz,2225000,2015,31000,Petrol,Automatic,Blue,First,Individual,1991.0,5.0,66.0
Hyundai,560000,2016,75210,Diesel,Manual,White,First,Individual,1396.0,5.0,40.0
Skoda,225000,2012,69000,Petrol,Manual,Silver,First,Individual,1598.0,5.0,45.0
Skoda,499000,2014,88000,Diesel,Automatic,Black,Second,Individual,1498.0,5.0,55.0
Kia,1055000,2020,15000,Petrol,Automatic,Gold,First,Individual,998.0,5.0,45.0
Mahindra,2048999,2020,45350,Diesel,Automatic,White,First,Individual,2179.0,7.0,70.0
BMW,2775000,2018,68189,Diesel,Automatic,Brown,First,Individual,1995.0,5.0,57.0
Mercedes-Benz,1650000,2015,75000,Diesel,Automatic,White,First,Individual,2143.0,5.0,50.0
Maruti Suzuki,350000,2013,45000,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Audi,1450000,2014,33000,Diesel,Automatic,Red,Second,Individual,1968.0,5.0,65.0
Mahindra,600000,2014,83000,Diesel,Manual,White,Second,Individual,2179.0,8.0,60.0
BMW,1250000,2012,78000,Diesel,Automatic,Black,First,Individual,1995.0,5.0,52.00220966084276
Toyota,1675000,2014,211000,Diesel,Manual,White,First,Individual,2982.0,7.0,80.0
Hyundai,575000,2015,67000,Petrol,Manual,White,First,Individual,1197.0,5.0,45.0
Ford,699000,2017,75000,Diesel,Manual,Grey,First,Individual,1498.0,5.0,52.0
Audi,2450000,2014,48600,Diesel,Automatic,Blue,Second,Individual,2967.0,6.0,100.0
Mercedes-Benz,2775000,2016,48000,Diesel,Automatic,Black,First,Individual,2143.0,5.0,66.0
Maruti Suzuki,430000,2020,5790,Petrol,Manual,Silver,First,Individual,998.0,5.0,27.0
Mahindra,1165000,2018,32000,Diesel,Manual,White,First,Individual,2179.0,7.0,60.0
MG,1780000,2020,65433,Diesel,Manual,Black,First,Individual,1956.0,5.0,60.0
Maruti Suzuki,295000,2011,87230,Diesel,Manual,Silver,First,Individual,1248.0,5.0,43.0
Maruti Suzuki,495000,2017,38258,Diesel,Manual,White,Second,Individual,1248.0,5.0,37.0
Honda,975000,2019,56881,Petrol,Manual,Silver,First,Individual,1497.0,5.0,40.0
Toyota,645000,2013,76000,Diesel,Manual,Grey,Second,Individual,2494.0,7.0,55.0
Renault,425000,2014,72000,Diesel,Manual,White,Second,Individual,1461.0,5.0,50.0
Audi,1350000,2012,72000,Diesel,Automatic,White,UnRegistered Car,Individual,1968.0,5.0,64.0
Mercedes-Benz,3200000,2014,60514,Diesel,Automatic,Silver,First,Individual,2987.0,5.0,95.0
Volvo,1250000,2013,71141,Diesel,Automatic,Silver,First,Individual,1984.0,5.0,60.0
BMW,5600000,2018,40937,Diesel,Automatic,White,First,Individual,2993.0,5.0,65.0
Maruti Suzuki,560000,2013,37000,Diesel,Manual,Gold,First,Individual,1248.0,5.0,42.0
Mahindra,1221000,2019,46000,Diesel,Manual,White,First,Individual,2179.0,7.0,60.0
BMW,2975000,2015,86999,Diesel,Automatic,Yellow,First,Individual,2993.0,5.0,52.00220966084276
Honda,295000,2009,70200,Petrol,Automatic,Grey,Second,Individual,1497.0,5.0,42.0
Mercedes-Benz,1300000,2012,64800,Petrol,Automatic,Silver,First,Individual,1796.0,5.0,66.0
Hyundai,950000,2016,73000,Diesel,Automatic,Silver,First,Individual,1582.0,5.0,60.0
Mercedes-Benz,1350000,2012,72000,Diesel,Automatic,White,Second,Individual,2987.0,5.0,80.0
Mercedes-Benz,2682000,2015,76345,Diesel,Automatic,White,First,Individual,2997.0,5.0,70.0
Maruti Suzuki,286000,2017,40564,Petrol,Manual,Silver,First,Individual,796.0,5.0,35.0
Hyundai,340000,2013,98500,Diesel,Manual,Silver,First,Individual,1336.0,5.0,45.0
Skoda,1125000,2020,46807,Petrol,Automatic,Red,First,Individual,999.0,5.0,55.0
Tata,580000,2018,81000,Petrol,Automatic,Red,First,Individual,1198.0,5.0,44.0
Maruti Suzuki,495000,2015,13716,Petrol,Manual,Silver,First,Individual,1197.0,5.0,42.0
Maruti Suzuki,550000,2014,89000,Diesel,Manual,White,First,Individual,1248.0,5.0,42.0
Kia,1485000,2021,13000,Diesel,Automatic,Red,First,Individual,1493.0,5.0,45.0
Skoda,885000,2018,38000,Petrol,Manual,Red,First,Individual,1598.0,5.0,55.0
Audi,3650000,2012,25500,Petrol,Automatic,Blue,Second,Corporate,4163.0,5.0,64.0
Hyundai,715000,2020,17000,Petrol,Automatic,Silver,First,Individual,1197.0,5.0,37.0
Mercedes-Benz,2485000,2012,44724,Petrol,Automatic,White,First,Individual,3496.0,7.0,80.0
Toyota,2250000,2020,24549,Diesel,Manual,Grey,Second,Individual,2393.0,7.0,55.0
Hyundai,1050000,2017,97000,Diesel,Automatic,Silver,First,Corporate,1582.0,5.0,60.0
Toyota,3600000,2018,7800,Diesel,Automatic,White,First,Individual,2755.0,7.0,80.0
Honda,295000,2010,78000,Petrol,Manual,White,First,Corporate,1497.0,5.0,42.0
Renault,375000,2019,55000,Petrol,Manual,Silver,First,Individual,799.0,5.0,28.0
Audi,7200000,2021,20000,Petrol,Automatic,White,UnRegistered Car,Individual,1984.0,5.0,75.0
Tata,2395000,2021,13594,Diesel,Automatic,Blue,First,Individual,1956.0,6.0,50.0
Audi,1775000,2014,75000,Diesel,Automatic,White,First,Individual,1968.0,5.0,65.0
Maruti Suzuki,275000,2011,65000,Diesel,Manual,Silver,First,Individual,1248.0,5.0,43.0
Honda,325000,2014,43037,Petrol,Manual,Silver,First,Individual,1198.0,5.0,35.0
Maruti Suzuki,425000,2013,26000,Diesel,Manual,White,First,Individual,1248.0,5.0,42.0
Mahindra,1475000,2020,78000,Diesel,Manual,White,First,Individual,2179.0,7.0,60.0
Toyota,1580000,2018,115000,Diesel,Automatic,Beige,First,Individual,2755.0,7.0,55.0
Honda,869000,2021,8700,Petrol,Automatic,Brown,First,Individual,1199.0,5.0,35.0
Mercedes-Benz,5850000,2019,31000,Diesel,Automatic,Grey,First,Corporate,2143.0,5.0,93.0
Jeep,1900000,2020,41736,Diesel,Automatic,Grey,First,Individual,1956.0,5.0,60.0
Maserati,9000000,2017,40000,Diesel,Automatic,White,Second,Individual,2979.0,5.0,80.0
Toyota,3550000,2020,55000,Diesel,Automatic,Black,First,Corporate,2755.0,7.0,80.0
Porsche,3500000,2014,160000,Petrol,Automatic,Blue,First,Individual,4806.0,5.0,100.0
Toyota,2425000,2022,11000,Diesel,Automatic,Black,First,Individual,2393.0,7.0,55.0
BMW,5811000,2018,24690,Diesel,Automatic,Blue,First,Individual,2993.0,7.0,52.00220966084276
Toyota,750000,2011,117000,Diesel,Manual,White,Second,Individual,2982.0,7.0,80.0
Audi,2200000,2014,95000,Diesel,Automatic,White,First,Individual,2967.0,7.0,100.0
Maruti Suzuki,520000,2019,76000,CNG,Manual,White,First,Individual,998.0,5.0,60.0
Maruti Suzuki,390000,2018,18000,Petrol,Manual,Silver,First,Individual,998.0,5.0,35.0
Maruti Suzuki,540000,2015,38000,Petrol,Manual,Gold,First,Individual,1373.0,5.0,43.0
Maruti Suzuki,699000,2018,43000,Diesel,Automatic,Red,First,Individual,1248.0,5.0,37.0
Hyundai,484999,2013,107000,Diesel,Manual,White,First,Individual,1582.0,5.0,43.0
Mercedes-Benz,7500000,2021,13000,Petrol,Automatic,Red,First,Individual,2996.0,4.0,66.0
Mercedes-Benz,850000,2011,85000,Diesel,Automatic,White,Second,Individual,2143.0,5.0,90.0
Tata,1085000,2018,8922,Petrol,Automatic,Red,First,Individual,1198.0,5.0,44.0
Maruti Suzuki,319000,2013,47800,Petrol,Manual,Red,First,Individual,796.0,5.0,35.0
Mahindra,549000,2012,143000,Diesel,Manual,Silver,First,Individual,2179.0,7.0,70.0
Tata,1725000,2019,68758,Diesel,Manual,White,First,Individual,1956.0,5.0,50.0
Honda,475000,2015,72000,Diesel,Manual,White,Second,Individual,1498.0,7.0,42.0
Tata,890000,2022,7500,Petrol,Manual,White,First,Individual,1199.0,5.0,37.0
Maruti Suzuki,235000,2012,37000,Petrol,Manual,Brown,Second,Individual,998.0,5.0,35.0
Hyundai,445000,2016,22402,Petrol,Manual,Grey,First,Individual,1197.0,5.0,43.0
Honda,1060000,2019,12382,Petrol,Manual,Maroon,First,Corporate,1497.0,5.0,40.0
Maruti Suzuki,690000,2017,61000,Diesel,Manual,Orange,First,Individual,1248.0,5.0,37.0
Jaguar,4200000,2018,90868,Diesel,Automatic,Blue,First,Individual,1999.0,5.0,82.0
BMW,2950000,2015,84700,Diesel,Automatic,Black,Second,Individual,2993.0,5.0,52.00220966084276
Land Rover,12500000,2022,22010,Petrol,Automatic,White,First,Individual,1997.0,5.0,104.0
Toyota,1750000,2015,72000,Diesel,Automatic,Black,Second,Individual,2982.0,7.0,80.0
Renault,395000,2018,75500,Petrol,Manual,Blue,First,Individual,999.0,5.0,28.0
BMW,2790000,2018,25000,Diesel,Automatic,White,First,Individual,1995.0,5.0,51.0
Audi,2475000,2018,38000,Diesel,Automatic,Red,First,Individual,1968.0,5.0,64.0
Maruti Suzuki,145000,2009,39586,Petrol,Manual,Red,First,Individual,1061.0,5.0,35.0
Hyundai,750000,2018,33647,Petrol,Automatic,Red,First,Individual,1197.0,5.0,40.0
BMW,800000,2012,75576,Diesel,Automatic,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Mahindra,950000,2016,86000,Diesel,Manual,White,First,Individual,2179.0,7.0,70.0
Hyundai,569000,2018,57847,Petrol,Manual,Grey,First,Individual,1197.0,5.0,43.0
Maruti Suzuki,470000,2016,74000,Petrol,Manual,White,First,Individual,1197.0,5.0,42.0
Porsche,5350000,2015,58000,Diesel,Automatic,White,First,Individual,2967.0,5.0,85.0
Nissan,450000,2014,85000,Diesel,Manual,Silver,Second,Individual,1461.0,5.0,50.0
Renault,299000,2016,26000,Petrol,Manual,Brown,First,Individual,999.0,5.0,28.0
Hyundai,1875000,2020,18000,Petrol,Automatic,Black,First,Individual,1353.0,5.0,50.0
Mahindra,1825000,2022,11000,Diesel,Automatic,Black,First,Individual,2184.0,4.0,57.0
Land Rover,4459000,2018,57300,Diesel,Automatic,White,First,Individual,2179.0,7.0,65.0
BMW,1195000,2010,74000,Diesel,Automatic,Silver,Second,Individual,2497.0,5.0,70.0
Toyota,790000,2019,25000,Petrol,Automatic,Red,First,Individual,1197.0,5.0,37.0
Hyundai,1095000,2017,39000,Petrol,Automatic,Red,Second,Individual,1591.0,5.0,60.0
Toyota,1950000,2020,45000,Diesel,Manual,Grey,First,Individual,2393.0,7.0,55.0
Volkswagen,525000,2015,80852,Petrol,Automatic,Grey,Second,Individual,1198.0,5.0,45.0
Isuzu,2100000,2018,75592,Diesel,Automatic,White,First,Individual,2999.0,7.0,65.0
Maruti Suzuki,270000,2014,54420,Petrol,Manual,Silver,First,Individual,998.0,5.0,35.0
Toyota,894999,2015,39780,Petrol,Automatic,White,First,Individual,1798.0,5.0,55.0
Hyundai,335000,2013,78301,Petrol,Automatic,Grey,Second,Individual,1197.0,5.0,35.0
Tata,1000000,2018,38000,Diesel,Manual,White,First,Individual,2179.0,7.0,60.0
Hyundai,220000,2009,126535,Petrol,Manual,Gold,First,Individual,1197.0,5.0,35.0
Hyundai,960000,2016,37079,Petrol,Automatic,Red,First,Individual,1591.0,5.0,60.0
Mercedes-Benz,7200000,2018,87200,Diesel,Automatic,White,First,Individual,2987.0,7.0,100.0
Audi,1300000,2014,51000,Diesel,Automatic,Gold,Second,Individual,1968.0,5.0,64.0
